,id,name,artists,duration_s,release_date,year,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,mode,key,popularity,explicit,Year_dt
160,3U21A07gAloCc4P7J8rxcn,All Mine,Kanye West,145.507,6/1/18,2018,0.123,0.925,0.31,0.0,0.0931,-6.531,0.291,121.927,0.291,0,11,72,1,2018-01-01
161,7vgTNTaEz3CsBZ1N4YQalM,Ghost Town,Kanye West,271.387,6/1/18,2018,0.0969,0.573,0.545,0.0,0.329,-4.247,0.0288,83.378,0.297,0,7,70,1,2018-01-01
162,4KFY4EEv9CN6ivrzD6vEvg,Breathe In Breathe Out,Kanye West,246.933,2/10/04,2004,0.341,0.636,0.7,0.0,0.161,-3.099,0.421,88.817,0.924,0,1,53,1,2004-01-01
163,6MgGapP3EPFm9kYUvYBTZR,I'll Fly Away,Kanye West,69.707,2/10/04,2004,0.76,0.239,0.25,0.0,0.124,-11.414,0.0289,172.338,0.564,1,6,52,1,2004-01-01
164,7wL7Lb8Q3aYyq6gmRL0PZq,Graduation Day,Kanye West,81.787,2/10/04,2004,0.684,0.418,0.447,2.1e-06,0.414,-9.058,0.338,169.336,0.869,0,0,51,1,2004-01-01
165,46fk9wjYcPm0sgym2b7EEE,We Major,Kanye West,448.0,9/30/05,2005,0.0107,0.232,0.883,0.0,0.045,-3.659,0.125,84.59,0.217,0,11,53,1,2005-01-01
166,5VzeI5JM2y9t21JwrWAnkH,Addiction,Kanye West,267.067,9/30/05,2005,0.185,0.659,0.756,0.0,0.252,-8.318,0.165,115.389,0.551,0,1,52,1,2005-01-01
167,2RRFTLIglxHgAYQzsSLI4Y,Coldest Winter,Kanye West,164.333,1/1/08,2008,0.171,0.761,0.516,3.21e-06,0.265,-10.229,0.044,133.999,0.562,1,0,55,0,2008-01-01
168,5e5MKPtJuFb8NaeSEyV5gD,Say You Will,Kanye West,377.6,1/1/08,2008,0.542,0.603,0.401,0.225,0.103,-10.155,0.0306,172.633,0.347,0,0,55,0,2008-01-01
169,5zuoz1NBnpoHK6g5sbEH8F,See You In My Nightmares,Kanye West,258.12,1/1/08,2008,0.0626,0.676,0.432,0.0,0.103,-8.035,0.0339,124.597,0.156,0,7,55,0,2008-01-01
170,02LAK7qT1wya0klSeNO96f,RoboCop,Kanye West,274.36,1/1/08,2008,0.157,0.698,0.447,0.00564,0.405,-8.04,0.102,133.776,0.407,0,5,54,0,2008-01-01
171,1nNPoG2hygEvrFGlHdhvJ9,Bad News,Kanye West,238.773,1/1/08,2008,0.0288,0.749,0.436,0.201,0.114,-11.99,0.0393,106.171,0.167,1,9,54,0,2008-01-01
172,7esMRbSzvLv60O70XLZFbc,H•A•M,Kanye West,275.733,8/8/11,2011,0.0462,0.657,0.523,0.0,0.322,-4.907,0.0614,140.046,0.0382,1,8,56,1,2011-01-01
